role	word	 frq
OTH	cafe	3
OTH	natuurlijk	819
OTH	hebt	3036
OTH	hoop	221
OTH	huisjes	29
OTH	stuk	655
OTH	kerktoren	7
TRG	zullen	212
TRG	omgooien	34
TRG	allemaal	1042
OTH	wordt	1296
OTH	plaats	135
OTH	om	1925
OTH	wagentje	28
OTH	ieder	77
OTH	geval	69
OTH	dak	357
TRG	hu	40
TRG	poppenkast	23
OTH	proberen	270
OTH	omme	4
OTH	tegelijk	113
TRG	krijt	5
TRG	rond	46
TRG	neuzen	2
OTH	rond	168
OTH	neuzen	3
TRG	zoeken	480
TRG	zocht	17
TRG	pijler	4
OTH	pijler	6
OTH	pijlers	5
