role	word	 frq
TRG	watte	4
TRG	reren	3
TRG	nieme	1
OTH	kenone	1
TRG	strandauto	6
TRG	schrandauto	3
OTH	strandauto	2
TRG	schrand	3
TRG	kedrink	1
TRG	vastgehoud	2
TRG	gekijk	1
TRG	ne	162
TRG	huhuhuh	1
TRG	starte	1
TRG	suur	1
TRG	ezine	4
TRG	Rolls	1
OTH	Rolls	1
TRG	s'r	1
TRG	tuttu	1
TRG	gebloerd	1
OTH	poessie	2
OTH	shaggie	2
OTH	shaggies	1
TRG	hebbie	2
OTH	goeiedag	101
TRG	zine	2
OTH	plaatsje	13
TRG	IN1eedschap	3
OTH	hertje	18
OTH	bijevleugeltjes	1
TRG	Poekie	1
OTH	Poekie	4
TRG	ooke	7
TRG	kekenen	2
OTH	heengetekend	1
TRG	paddetoel	2
OTH	uitelkaar	2
TRG	epoept	1
OTH	strikkie	1
TRG	apapap	1
OTH	Huigen	9
TRG	losmake	1
TRG	beere	2
OTH	terugtoveren	3
OTH	hehehe	11
TRG	huise	2
TRG	hehehehe	3
TRG	toute	1
TRG	hoppaardje	1
OTH	hoppaardje	9
OTH	pastie	1
OTH	ballonnen	62
TRG	ballonne	2
TRG	hiero	17
TRG	olifan	1
TRG	ehad	2
TRG	soot	2
OTH	ohohohohoh	3
OTH	koed	1
OTH	boing	60
OTH	jah	6
TRG	weetteniet	1
TRG	cowboymannetje	2
OTH	cowboymannetje	1
OTH	achtergegooid	1
OTH	surfmannetje	1
TRG	toedoetoedoet	1
OTH	schra	1
TRG	koeke	21
TRG	boemetjes	1
TRG	mijnes	6
TRG	hm	440
OTH	bsed	1
TRG	tadadada	1
OTH	toverdoos	1
OTH	hokus	3
TRG	hokus	4
TRG	pokus	2
OTH	hokuspokus	1
TRG	gepoep	1
OTH	wa	28
TRG	Tesia	2
TRG	boodje	1
TRG	waarme	1
TRG	pakkie	2
TRG	ih	1
OTH	hebbie	1
TRG	dinken	7
TRG	rocee	2
TRG	Roosvicee	2
OTH	rocee	2
TRG	Sesamstraat	17
OTH	Sesamstraat	75
OTH	ijsman	3
OTH	elektrikboekie	1
OTH	plekkie	1
TRG	paaseitje	5
TRG	sneeuwpopje	3
OTH	paaseitje	1
OTH	'ns	2
TRG	Jamin	2
OTH	habt	1
OTH	Jamin	3
OTH	heeftj	1
TRG	Graaf	1
OTH	Graaf	3
OTH	oje	1
TRG	jurkie	1
TRG	Doedie	1
TRG	Wil	2
TRG	Tuccie	2
OTH	Tuccie	2
OTH	dorie	1
TRG	roo	1
OTH	Katjametje	1
OTH	omstebeurt	5
OTH	doing	30
TRG	kersie	1
TRG	kersje	2
TRG	stepje	1
TRG	wos	2
TRG	kokool	1
OTH	kokkool	1
TRG	vlaggestje	1
OTH	jajajaja	19
TRG	baltje	1
TRG	eetje	10
TRG	sosteen	1
OTH	stosteen	1
TRG	stosteen	1
TRG	stostoel	1
OTH	stostoel	1
TRG	hasloen	1
TRG	n't	1
TRG	pes	4
TRG	hijssie	1
OTH	hijssie	1
TRG	hessie	2
OTH	hessie	2
TRG	soen	3
OTH	ditte	50
TRG	ningen	1
TRG	saatjes	1
TRG	tepot	2
OTH	Jomas	1
TRG	knofje	1
TRG	knofjeboek	2
OTH	Knofje	23
TRG	minimuisje	2
TRG	minimuis	3
TRG	minimuisjes	1
OTH	minimuisjes	1
OTH	minimuis	1
TRG	denke	5
TRG	huilte	1
TRG	weete	3
TRG	huh	339
TRG	minimuizenboeken	1
OTH	minimuizenboeken	1
OTH	poppekast	7
OTH	daars	1
TRG	totos	1
TRG	hihihm	1
OTH	papegaar	1
TRG	loes	14
TRG	tan	11
TRG	taad	1
TRG	Shei	4
TRG	bam	38
TRG	kijn	2
TRG	deu	3
TRG	boeoe	2
OTH	Taras	2
OTH	totoos	1
TRG	ket	3
TRG	ehoe	1
TRG	esses	1
OTH	plusje	1
TRG	siesse	1
TRG	toor	14
OTH	Pino	68
OTH	d'rbij	7
TRG	tit	9
TRG	mammie	40
TRG	sstt	4
TRG	hoppekee	9
TRG	ta	44
TRG	hoho	6
TRG	paten	2
TRG	duche	1
OTH	tototo	1
TRG	suffie	1
OTH	d'raf	17
OTH	bird	21
OTH	Toto	4
TRG	tis	108
TRG	sette	1
OTH	krummeltjes	1
OTH	alletwee	98
OTH	shcat	1
TRG	chep	8
TRG	kijper	3
TRG	bove	5
TRG	veh	1
TRG	Battie	4
OTH	Battie	2
TRG	opsluite	1
TRG	borsel	2
TRG	vlietuig	2
OTH	brrroem	2
TRG	brroe	1
TRG	xo	3
TRG	bokke	7
